,TotalFinishedArea,TotalAppraisedValue
282,2197.5,148500.0
283,1167.25,120400.0
284,1882.0,137900.0
285,8532.0,357200.0
286,1404.0,141900.0
287,2079.60001,139300.0
288,411.0,31600.0
289,3762.0,198200.0
290,3141.00001,486100.0
291,396.0,32900.0
292,5742.0,177800.0
293,3762.0,198200.0
294,2213.0,250900.0
295,453.0,34900.0
297,387.0,35800.0
298,2154.0,181800.0
299,820.0,87400.0
300,476.0,38600.0
302,552.0,45700.0
303,548.0,41500.0
304,4377.0,184700.0
305,470.0,41100.0
306,3789.5,150500.0
307,4032.0,173700.0
308,1350.0,132600.0
309,3616.5,155100.0
310,3636.0,185900.0
311,3288.00001,407900.0
312,674.0,60700.0
314,1260.0,145200.0
316,5049.0,211700.0
317,527.0,43200.0
318,436.0,36100.0
319,3288.00001,407900.0
320,3582.0,62000.0
321,975.0,122900.0
322,2564.80001,251000.0
323,1815.0,145200.0
324,318.0,26800.0
325,2885.0,199000.0
326,548.0,41500.0
327,546.0,41400.0
328,3800.0,151400.0
329,1515.25,152400.0
330,2492.0,158600.0
331,3253.80001,349900.0
332,1350.0,132600.0
333,550.0,45600.0
334,1242.0,50200.0
335,648.0,53500.0
336,433.0,38100.0
337,1350.0,132600.0
338,1350.0,132600.0
339,450.0,34700.0
340,578.0,43700.0
342,908.0,56100.0
343,1048.0,121800.0
344,1144.0,85700.0
345,600.0,37200.0
346,1260.0,145200.0
347,846.0,59600.0
348,2608.5,203000.0
349,1756.0,149100.0
351,1220.0,39400.0
353,1428.0,124700.0
354,3633.0,186000.0
355,1976.0,295600.0
356,2807.0,164300.0
357,477.0,38700.0
358,4104.0,171600.0
359,476.0,38600.0
360,628.0,47300.0
361,490.0,40800.0
362,2608.5,203000.0
363,665.0,54800.0
364,527.0,43200.0
365,1152.0,145400.0
366,665.0,54800.0
367,648.0,53500.0
368,452.0,37300.0
369,2348.0,143400.0
370,620.0,22000.0
371,964.0,37700.0
372,2732.0,214600.0
373,11360.0,1125300.0
374,1232.0,135200.0
375,482.0,40200.0
376,2161.0,120300.0
377,1492.0,127800.0
378,453.0,34900.0
379,3600.0,37100.0
380,4162.0,90600.0
381,477.0,38700.0
382,3272.5,161800.0
383,868.0,110300.0
384,1667.0,144600.0
385,490.0,40800.0
386,15738.0,590000.0
387,1760.0,135600.0
388,4135.0,211400.0
389,2436.0,163900.0
390,1392.0,111500.0
391,593.0,44800.0
392,496.0,40200.0
393,582.0,44000.0
394,1260.0,145200.0
395,3375.0,171500.0
396,582.0,48100.0
397,452.0,34800.0
398,2962.5,155000.0
399,548.0,41500.0
400,447.0,39200.0
401,3880.25,172100.0
402,3336.0,174500.0
403,628.0,47300.0
404,482.0,40200.0
405,665.0,54800.0
406,477.0,41700.0
407,2857.60001,181700.0
408,3136.80001,137700.0
409,3661.5,154000.0
410,528.0,48100.0
411,7416.0,200500.0
412,469.0,41100.0
414,3120.0,189500.0
415,545.0,43900.0
416,621.0,23200.0
417,8454.0,369100.0
418,567.0,46900.0
419,7980.31,270700.0
420,2222.5,111300.0
421,454.0,35000.0
422,628.0,47300.0
423,9348.0,189104.0
424,3982.0,179800.0
425,3375.0,171500.0
426,402.0,37100.0
427,3666.0,174300.0
428,510.0,42400.0
429,851.0,75600.0
430,3660.0,197400.0
431,1068.0,131100.0
432,684.0,61600.0
433,975.0,122900.0
434,546.0,41400.0
435,546.0,41400.0
436,553.0,45800.0
437,1272.0,120600.0
438,2356.0,191900.0
439,601.0,54000.0
441,3633.0,186000.0
442,7238.0,215000.0
443,539.0,44800.0
444,5096.0,210900.0
445,681.0,24000.0
446,18897.0,744900.0
447,1386.0,93300.0
448,489.0,42700.0
450,511.0,42600.0
451,1098.0,316300.0
452,4165.0,212500.0
453,454.0,35000.0
454,553.0,45800.0
455,690.0,48800.0
456,1010.0,38200.0
457,2375.0,114600.0
458,500.0,41100.0
459,1789.0,129300.0
460,12916.0,402300.0
461,2906.0,232300.0
463,2438.0,309800.0
464,3600.0,163300.0
465,456.0,35100.0
466,9704.0,427300.0
467,411.0,31600.0
468,665.0,54800.0
469,5916.0,202600.0
470,6384.0,221600.0
471,11052.0,372100.0
473,452.0,39700.0
474,3328.80001,452600.0
475,573.0,46800.0
476,3982.0,179800.0
477,548.0,45400.0
